"name","permalink_url","city","followers_count","followings_count","username"
"Kaleena Zanders","https://soundcloud.com/kaleenazanders","Los Angeles",1243,901,"kaleenaz"
"ANA LOU","https://soundcloud.com/officialanalou","Los Angeles",2923,1981,"officialanalou"
"SAVI","https://soundcloud.com/sagesavi","LOS ANGELES",457,290,"sagesavi"
"Emes","https://soundcloud.com/emes_la","Los Angeles",995,922,"emes_la"
"POOLS","https://soundcloud.com/poolsmusic","Los Angeles",4234,966,"poolssound"
"Leisure Sports Records","https://soundcloud.com/leisure-sports-recs","Los Angeles",455,209,"leisuresportsrecs"
"KTmasterpiece.","https://soundcloud.com/ankhra4321","Los Angeles",1237,856,"kri_kuu"
"prince woods ✩","https://soundcloud.com/princewoods","los angeles",1129,237,"therealprincewoods"
"Emzhi","https://soundcloud.com/emzhimusic","Los Angeles",1413,858,"emzhimusic"
"Closur","https://soundcloud.com/closurmusic","Los Angeles",657,292,"closurmusic"
"The Interns","https://soundcloud.com/theinternsla","Los Angeles",2407,637,"theinternsla"
"CODYCORDOVA","https://soundcloud.com/codycordova","Los Angeles",1861,1061,"realcodycordova"
"zyyn","https://soundcloud.com/zyyn","los angeles",2075,450,"zyynsound"
"Warpstr","https://soundcloud.com/warpstr","los angeles",3422,225,"warpstr"
"Nick Evol","https://soundcloud.com/iamnickevol","Los Angeles",114,240,"iamnickevol"
"Badknees","https://soundcloud.com/badknees","Los Angeles",1111,699,"bad.knees"
"CHABOI","https://soundcloud.com/chaboila","Los Angeles",2445,1999,"latenightlaggers"
"CHABOI","https://soundcloud.com/chaboila","Los Angeles",2445,1999,"chaboi_aztlan"
"MAT/MATIX","https://soundcloud.com/matmatixmusic","LOS ANGELES",1221,325,"mat_matix_"
"steeziak","https://soundcloud.com/steeziakbeats","los angeles",3709,624,"steeziakbeats"
"notanumber","https://soundcloud.com/not-a-number-music","Los Angeles",679,919,"pfinazzomusic"
"Bassfreq Muzik","https://soundcloud.com/bassfreqmuzik","Los Angeles",253,297,"bassfreqmuzik"
"Jake Justice","https://soundcloud.com/thejakejustice","Los Angeles",215,407,"thejakejustice"
"Grace Gaustad","https://soundcloud.com/grace-gaustad","Los Angeles",590,351,"grace.gaustad"
"Happy Hollows","https://soundcloud.com/happy-hollows","Los Angeles",1556,378,"happyhollows"
"MONDO","https://soundcloud.com/itsdjmondo","Los Angeles",653,900,"itsdjmondo"
"DERSU","https://soundcloud.com/dersurhodes","Los Angeles",3096,552,"dersurhodes"
"dirty chime","https://soundcloud.com/dirtychime","los angeles",568,312,"dirtychime"
"SYB","https://soundcloud.com/savageyungblanc","Los Angeles",179,301,"savyungblanc"
"Risk-E","https://soundcloud.com/itsriske","Los Angeles",1492,604,"itsriske"
"no suits","https://soundcloud.com/nosuits","Los Angeles",1996,297,"nosuitsnotrends"
"MÒZÂMBÎQÚE","https://soundcloud.com/m-z-mb-q-e","Los Angeles",109,472,"mozam.bique"
"D I V I N I T Y","https://soundcloud.com/divinityofficialpage","Los Angeles",2818,334,"DivinityOfficial"
"Diving Bell Recording Company","https://soundcloud.com/divingbellrecordco","Los Angeles",182,222,"divingbellrecordco"
"Joon Glume","https://soundcloud.com/joonglume","Los Angeles",247,706,"mollymarlette"
"ARBS","https://soundcloud.com/arbsbeats","Los Angeles",971,1433,"arbsbeats"
"AVERZI","https://soundcloud.com/averzi","LOS ANGELES",200,759,"_averzi"
"CHΛRLIE","https://soundcloud.com/igobycharlie","Los Angeles",250,303,"igobycharlie"
"LINNEY","https://soundcloud.com/linneyofficial","Los Angeles",1114,214,"linneyofficial"
"TRYSTON ALEXANDER","https://soundcloud.com/trystonalexander","Los Angeles",637,380,"trystonalexander"
"ECHOPLVY","https://soundcloud.com/echoplay-1","Los Angeles",708,702,"echoplvy"
"mandalan","https://soundcloud.com/mandalan","Los Angeles",148,239,"mandalan"
"matphilly","https://soundcloud.com/matphilly","Los Angeles",3133,353,"matphilly"
"RaneRaps✅","https://soundcloud.com/raneraps","Los Angeles",2559,288,"raneraps"
"CliffLight","https://soundcloud.com/clifflight","Los Angeles",1060,424,"clifflightmusic"
"Zonii","https://soundcloud.com/zoniiworld","Los Angeles",2720,522,"zoniiworld"
"Tydes","https://soundcloud.com/tydes","los angeles",2641,596,"ian_edson"
"oh my muu","https://soundcloud.com/ohmymuu","Los Angeles",2812,284,"ohmymuu"
"Zonashi","https://soundcloud.com/zonashi","Los Angeles",2435,778,"zonashisensei"
"ARIESIA","https://soundcloud.com/ariesia","Los Angeles",2266,1999,"ariesiaaa"
