"name","permalink_url","city","followers_count","followings_count","username"
"✦ Origin Peoples","https://soundcloud.com/origin-peoples","Los Angeles",2499,374,"originpeoples"
"floro","https://soundcloud.com/florobeats","los angeles",1478,461,"florobeats"
"Dalure","https://soundcloud.com/dalure","Los Angeles",1672,219,"dalure"
"JAYY SHIEST","https://soundcloud.com/shiesttyy","LOS ANGELES",3624,350,"jayyshiesttt"
"Babble","https://soundcloud.com/bbble","Los Angeles",2175,540,"babblingbabble"
"ALDAE","https://soundcloud.com/aldaelong","LOS ANGELES",3640,520,"aldaelong"
"We Rose","https://soundcloud.com/werosemusic","Los Angeles",2887,844,"werosemusic"
"Fung Sway","https://soundcloud.com/fung-sway","Los Angeles",1333,1038,"really.big.butts"
"twinterrors","https://soundcloud.com/twinterrors","Los Angeles",1330,548,"mrdarrenrobinson"
"Soslo","https://soundcloud.com/soslo","los angeles",2822,251,"soslomusic"
"Mark Chill","https://soundcloud.com/markchill","Los Angeles",1316,419,"markchill"
"Willis Nillis","https://soundcloud.com/willisnillis","Los Angeles",426,337,"willisnillis"
"Axel Mansoor","https://soundcloud.com/axelmansoor","Los Angeles",2330,366,"axelmansoor"
"MUGEN","https://soundcloud.com/mugensound","Los Angeles",936,525,"mugenmusic_"
"Woof Logik","https://soundcloud.com/wooflogik","Los Angeles",4402,562,"wooflogik"
"BEDSIDE BAPTIST","https://soundcloud.com/kyalou","Los Angeles",284,480,"kyalou"
"Italian Leather","https://soundcloud.com/italian-leather","Los Angeles",668,258,"italianleather"
"Out West","https://soundcloud.com/outwessst","Los Angeles",107,356,"outwessst"
"HorseExplosion","https://soundcloud.com/horseexplosion","Los Angeles",616,357,"horseexplosionmusic"
"Alex Chapman","https://soundcloud.com/alexchapman1","Los Angeles",2060,522,"alexkeithchapman"
"Drum & Lace","https://soundcloud.com/drumandlace","Los Angeles",1324,226,"drumandlace"
"C$ RECORDS","https://soundcloud.com/cs-records-music","Los Angeles",804,849,"thelastjspazum"
"Hark Madley","https://soundcloud.com/harkmadley","Los Angeles",165,213,"harkmadley"
"BLACKMVGE","https://soundcloud.com/blackmvge","Los Angeles",1702,406,"blackmvge"
"Samurai Guru","https://soundcloud.com/samuraiguru","Los Angeles",4260,203,"samuraivisions"
"Sevi","https://soundcloud.com/sevi-dj-official","Los Angeles",1528,600,"magickeleven"
"DISCO NAPS","https://soundcloud.com/disconaps","Los Angeles",1445,643,"disco_naps"
"Yung Shinra","https://soundcloud.com/iamyungshinra","Los Angeles",2045,783,"kenji_yuki"
"SLOW GRAFFITI","https://soundcloud.com/slowgraffiti","Los Angeles",2051,391,"slowgraffitila"
"ROZWELL","https://soundcloud.com/rozwelluniverse","Los Angeles",2551,280,"rozwellfitzroy"
"OhKayWhy","https://soundcloud.com/ohkaywhybeats","Los Angeles",885,702,"__kybwoy"
"THE BLACK LODGE","https://soundcloud.com/theblacklodgela","Los Angeles",2976,1287,"theblacklodgela"
"NINTH CHILD","https://soundcloud.com/ninthchild","Los Angeles",3911,430,"ninthchild.ix"
"Cam Daniels","https://soundcloud.com/itscamdaniels","Los Angeles",1726,481,"itscamdaniels"
"Lee Triffon","https://soundcloud.com/leetriffonmusic","Los Angeles",843,391,"leetriffon"
"Jeremy Siegel","https://soundcloud.com/jeremysiegel","Los Angeles",240,215,"jeremymsiegel"
"miƶu","https://soundcloud.com/mizu-official","Los Angeles",3783,373,"mizu.official"
"David_Montoya","https://soundcloud.com/david_montoya","Los Angeles",2207,505,"montoyadavid"
"Alex Barbarian","https://soundcloud.com/alexanderbarbarian","Los Angeles",718,941,"abarbarian"
"midnght","https://soundcloud.com/midnghtofficial","los angeles",1168,566,"midnghtmusic"
"GEMMA","https://soundcloud.com/gemmabeats","Los Angeles",284,462,"gemmabeats"
"Ryan Browne","https://soundcloud.com/ryan_browne","Los Angeles",4235,359,"ryanbrownemusic"
"Upper Reality","https://soundcloud.com/upper-reality","Los Angeles",563,204,"upperreality"
"Sean Matsukawa","https://soundcloud.com/seanmatsukawa","Los Angeles",569,239,"seanmatsukawa"
"BOYO","https://soundcloud.com/helloboyo","Los Angeles",519,292,"hello_boyo_"
"Pauline Herr","https://soundcloud.com/paulineherr","Los Angeles",3157,215,"paulineherr"
"DRUNKCAT","https://soundcloud.com/drunkcatlovesyou","Los Angeles",1262,859,"drunk.cat"
"BRVTHR","https://soundcloud.com/brvthr","Los Angeles",1933,1981,"BRVTHR"
"luis lancaster","https://soundcloud.com/lancasterr1","los angeles",4814,834,"luismakesbeats"
"BLACK MONDAY","https://soundcloud.com/blackm0nday","Los Angeles",4098,536,"jffkleinman"
"YELLOW LIAR","https://soundcloud.com/yellowliar","Los Angeles",667,1198,"yellowliar"
"Emerald Lake","https://soundcloud.com/emerald_lake","Los Angeles",1790,464,"emeraldlakeofficial"
"Midnight Smack","https://soundcloud.com/midnightsmack","Los Angeles",4195,487,"midnight_smack"
"Mantik","https://soundcloud.com/mantikmusic","Los Angeles",1651,422,"mantikmusic"
"RamonPang","https://soundcloud.com/ramonpang","Los Angeles",1069,819,"ramonpang"
"LYQD","https://soundcloud.com/lyqd","Los Angeles",690,573,"lyqdsound"
"Callie Ryan","https://soundcloud.com/callie_01","Los Angeles",722,973,"callie.01"
"KUREI","https://soundcloud.com/kureimusic","Los Angeles",3692,790,"kureimusic"
"Colson XL","https://soundcloud.com/colson_xl","Los Angeles",1003,1062,"colsonxl"
"Raw Rhythm Music","https://soundcloud.com/revolutionaryrhythm","Los Angeles",4367,417,"RawRhythm"
"Somni","https://soundcloud.com/somnimusic","Los Angeles",1511,616,"somnibeats"
"Miki Rose","https://soundcloud.com/mikirosemusic","LONDON, ENGLAND / LOS ANGELES",3856,525,"MikiRoseMusic"
"Outlaw","https://soundcloud.com/outlawartist","London | New York | Los Angeles",2182,364,"outlawartist"
"Instant Karma","https://soundcloud.com/instantkarmamusic","LONDON / LOS ANGELES",3179,941,"officialgene"
"LINAFORNIA","https://soundcloud.com/linafornia","Leimert Park | Los Angeles CA",4161,334,"linafornia"
"EDDIE GUN","https://soundcloud.com/eddiegun23","Honolulu//Los Angeles",300,641,"eddie_gun"
"DYLAN VOGT","https://soundcloud.com/dylan-jk-vogt","Highland Park, Los Angeles",421,764,"dylanjkvogt"
"k N O E s","https://soundcloud.com/raaasng","DMV/Los Angeles",1600,944,"k_noe_s"
"The Black Opera","https://soundcloud.com/tboradio","Detroit, Los Angeles ",3803,262,"TheBlackOpera"
"AZURA","https://soundcloud.com/musicazura","detroit -> los angeles",2096,606,"musicazura"
"DJA1","https://soundcloud.com/a1beats","Dallas/Los Angeles",3785,202,"dja1"
"Bo Haan","https://soundcloud.com/bohaan","Chinatown, Los Angeles",1588,278,"BlemishOfficial"
"Bo Haan","https://soundcloud.com/bohaan","Chinatown, Los Angeles",1588,278,"BoHaanOfficial"
"Nama Recordings","https://soundcloud.com/namarecordings","Budapest | Los Angeles | Chisinau",1165,266,"namarecordings"
"Asteroids & Earthquakes","https://soundcloud.com/asteroidsandearthquakes","Boston/Los Angeles",2193,1659,"asteroidsandearthquakes"
"STEL★LEO","https://soundcloud.com/stelleo","Bermuda ✈ Los Angeles",2770,750,"stelleomusic"
"Alison Swing","https://soundcloud.com/alisonswing","Berlin / Los Angeles",2520,824,"alisonswing"
"Luis da Silva","https://soundcloud.com/silvanotfound","Berlin & Los Angeles",4409,211,"silvanotfound"
"Anton of Earth","https://soundcloud.com/antonofearth","Bay Area // Los Angeles",764,273,"courteous.tone"
"Neuropunk","https://soundcloud.com/neuropunkdj","Azusa / Los Angeles",2927,566,"neuropunkdj"
"UniversityHype.com","https://soundcloud.com/universityhypedotcom","Austin TX | Los Angeles CA",3094,404,"universityhype"
"ANTRA","https://soundcloud.com/antramusic"," Los Angeles",4105,285,"antramusic"
